Predication.type,Type,Item,Kind,Truth.judgment,Cue.validity.estimate,Prevalence.estimate,Word1,Word2,to_include,plural.GoogleNews-vectors-negative300.bin,plural.FastText.cc.en.300.vec,singular.GoogleNews-vectors-negative300.bin,singular.FastText.cc.en.300.vec
Majority characteristic,Principled,Airplanes have wings,Artifact,2.91,0.11,95.32,airplanes,wings,1,0.25432699412377235,0.36773515,0.3134585227071558,0.383928
Majority characteristic,Principled,Ambulances have sirens,Artifact,2.5,1.47,89.11,ambulances,sirens,1,0.45685303396303506,0.5159554,0.29442420845272044,0.34258673
Majority characteristic,Principled,Needles are sharp,Artifact,2.42,0.42,88.74,needles,sharp,1,0.15839120305712626,0.2583724,0.21854151206766786,0.32019287
Majority characteristic,Principled,Tables are flat,Artifact,2.29,0.05,87.95,tables,flat,1,0.18336883979628887,0.16188903,0.1908049559772403,0.24140798
Majority characteristic,Principled,Diapers are absorbent,Artifact,2.65,0.42,87.58,diapers,absorbent,1,0.39647136718773135,0.45467088,0.4095877591359561,0.47229084
Majority characteristic,Principled,Birds have wings,Natural,2.63,1.58,94.11,birds,wings,1,0.31521084141480993,0.3639361,0.32720608566752885,0.407477
Majority characteristic,Principled,Lemons are sour,Natural,2.25,1.06,91.42,lemons,sour,1,0.30710023522337127,0.38731796,0.31154435294356597,0.4255924
Majority characteristic,Principled,Leopards have spots,Natural,2.17,0.68,88.32,leopards,spots,1,0.21160902546294966,0.33735818,0.15966761633693027,0.29671323
Majority characteristic,Principled,Dogs have tails,Natural,2.42,0.21,87.16,dogs,tails,1,0.28928365592363126,0.33970246,0.29874094072759144,0.36026058
Majority characteristic,Principled,Feathers are light,Natural,2.29,0.44,86.16,feathers,light,1,0.12138282147274217,0.20013022,0.18898634881358847,0.3094513
Majority characteristic,Principled,Scissors cut,Artifact,2.67,1.00,91.89,scissors,cut,1,0.11491383711906547,0.4731386,0.27476727906943094,0.47313866
Majority characteristic,Principled,Horses have four legs,Natural,2.54,-0.11,94.58,NA,NA,1,NA,NA,NA,NA
Minority characteristic,Principled,Sheep produce milk,Natural,2,0.06,51.89,sheep,milk,1,0.35925274171258564,0.3660869,0.35925274171258564,0.3660869
Minority characteristic,Principled,Lions have manes,Natural,1.46,0.89,53.63,lions,manes,1,0.25826703120752065,0.43359926,0.2254435630295626,0.471273
